Symbol,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD23,BXD27,BXD28,BXD29,BXD31,BXD33,BXD36,BXD40,BXD42
0610008N23Rik,7.24698323125,7.167381934,6.88555090475,7.1170882875,7.04938044775,7.539093627,7.297385922,7.1613957755,7.115624894,7.32379949325,7.0820454495,7.21938567525,7.19164790825,7.1539566855,7.04076118575,7.081425919,7.291908137,7.102006759375,7.3058255577499995,7.5654415104999995,7.2355622534999995
0610009B22Rik,7.730859331,8.323008916,7.842956463,7.633047117,8.133293378,7.971551545,7.588013654,7.623785124,7.441212261,7.9743121,7.627442276,7.9743121,7.67357276,7.815193855,7.600326589,7.18580999,7.406402675,7.5069831325,7.398613887,7.981009076,7.471205358
0610009E20Rik,10.56748526,10.26083281,10.35724256,10.73292399,10.43330684,10.38875313,10.40709581,10.28457955,10.66371293,10.114477,10.49275826,9.696286901,10.41586672,10.38565339,10.40058931,10.01742717,10.45051583,10.249580440999999,10.46529861,10.72189389,9.672831959
0610009F02Rik,10.68044689,10.46395023,10.66989777,11.04376361,10.80805937,10.75674141,10.78413735,10.90472151,10.89469076,10.62643825,10.96223075,10.29680277,10.74614846,10.71410525,10.97946305,10.95865652,11.21777981,10.528500229999999,10.9717617,10.85179726,10.54280583
0610009H04Rik,9.2466498395,9.414647496,9.0287964095,8.601745035499999,9.370048158500001,9.3646533315,8.918644901,9.05384209,7.764511617,9.224296229499998,8.976325484,9.202006793999999,9.0015568705,8.9587486625,8.786789898999999,8.404494337500001,8.6776434445,8.814124140250001,8.8675199835,9.093141576499999,8.704115539
0610009I22Rik,7.702148984,7.893362240333334,7.578521436333333,7.622833539333333,7.585896681333334,7.809508616666666,7.438705324,7.390020046,7.406163751,7.599155058,7.412016670666667,7.631407723333333,7.506909018666668,7.421781906,7.5220430170000006,7.403373814999999,7.392154800666667,7.425693581500001,7.488296378666667,7.524022160333334,7.398245621333333
0610009J05Rik,8.253640172,8.920405972,8.761699244,9.528087385,8.663467731,8.952160125,9.109606004,8.375082037,9.539199563,8.854613458,8.775942923,9.324950539,8.327452775,8.703554144,8.630902323,9.276751156,8.510508136,8.7306333255,8.529822808,8.324565053,9.660447486
0610009J22Rik,8.111991616,7.826587373,8.300940696,7.873617716,8.119668209,7.507105025,8.358050641,8.332194937,7.743632893,7.947406408,8.223270818,8.152823577,8.098041607,8.094586057,7.952738017,8.140802932,8.032184165,8.204801852,8.050456358,8.169718835,7.964984203
0610009K11Rik,7.710844277,9.404851104,9.269285841,7.191726215,9.59866995,9.410518766,7.583709127,7.549362249,7.283137946,8.164422366,7.497618901,9.571305932,7.77200737,9.146540911,7.774658575,8.674613746,9.046209729,7.661402177499999,7.507446143,9.392407187,9.085530202
0610009L18Rik,7.308984055,8.135270727,7.734870709,7.345012528,7.904853897,8.035307922,7.413168818,7.377057202,7.060725983,8.034215691,7.344868513,8.253400619,7.654117071,7.652249471,7.461147379,7.044387306,7.268059618,7.6208703579999995,7.440110755,7.607229605,8.034215691
0610009M14Rik,10.72802062,10.24292506,10.81146985,10.03739168,10.77533317,9.869952867,10.88457761,10.73620799,10.42341857,10.40888484,10.79505912,10.73375599,10.42530176,10.51568372,10.75587525,10.33448922,9.583955652,11.037019485,10.73375599,9.951342701,10.52469932
0610009O03Rik,9.648652415499999,9.489241594500001,9.822845499,10.013955038999999,9.865478023,9.448156845,9.756980719,9.731540298999999,9.715695059,9.499562577999999,10.062208895000001,9.1784611785,9.9006092835,9.739379443,9.940133744,10.0239674715,9.9745999935,9.73009306775,9.966780507500001,9.460982167,9.166663888
0610009O20Rik,8.381262055,8.182775666,8.695352897,8.574675094,8.638403294,7.986792143,8.420158068,8.598063938,8.532976854,8.278008832,8.628496987,8.16473637,8.397197747,8.679647852,8.371753992,8.567502572,8.564084316,8.3443763445,8.539162344,8.216006237,7.883683612
0610010D24Rik,8.6127660385,8.564279164,8.422484297,8.000422416,8.2834667585,8.7346805525,8.93516558,8.7259988525,8.347162950000001,8.071542878999999,8.762023751000001,8.348787412,8.6354319165,8.358475253,8.1798086555,8.6726979385,8.752988877,8.2460681105,8.624324464,8.1148755225,9.1942390895
